Team,Date ,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Season
Breeze,"July 16, 2022",DC 24 - 17 OTT,94% (253/270),50% (5/10),84% (16/19),62% (16/26),31% (8/26),50% (8/16),83% (15/18),17,14,2022
Breeze,"July 15, 2022",DC 24 - 14 MTL,96% (229/239),69% (9/13),88% (14/16),70% (14/20),40% (10/25),67% (10/15),95% (18/19),10,12,2022
Breeze,"July 8, 2022",PHI 24 - 25 DC,95% (255/269),58% (7/12),72% (18/25),56% (18/32),26% (7/27),88% (7/8),84% (16/19),14,6,2022
Breeze,"July 2, 2022",DC 22 - 21 PHI,96% (308/322),86% (6/7),70% (16/23),64% (16/25),26% (6/23),55% (6/11),79% (15/19),14,8,2022
Breeze,"June 18, 2022",TOR 16 - 26 DC,94% (276/295),62% (8/13),78% (14/18),58% (14/24),43% (12/28),52% (12/23),73% (16/22),19,19,2022
Breeze,"June 10, 2022",DC 21 - 25 NY,94% (249/264),57% (4/7),63% (17/27),57% (17/30),17% (4/23),57% (4/7),89% (17/19),15,7,2022
Breeze,"June 3, 2022",BOS 20 - 25 DC,94% (255/270),50% (4/8),73% (16/22),64% (16/25),33% (9/27),60% (9/15),100% (16/16),15,7,2022
Breeze,"May 28, 2022",DC 27 - 26 TOR,97% (304/313),62% (8/13),75% (21/28),68% (21/31),21% (6/29),100% (6/6),93% (13/14),9,5,2022
Breeze,"May 14, 2022",MTL 17 - 27 DC,96% (256/268),77% (10/13),89% (17/19),77% (17/22),34% (10/29),59% (10/17),89% (17/19),12,12,2022
Breeze,"April 30, 2022",NY 22 - 19 DC,96% (252/262),100% (5/5),70% (16/23),62% (16/26),15% (3/20),75% (3/4),76% (13/17),10,5,2022
